"filename", "language", "YAML", "Python", "Docker", "Ini", "Makefile", "pip requirements", "Go Module File", "Go", "Go Checksum File", "templ", "Properties", "comment", "blank", "total"
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/manage.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/backend/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/.gitlab-ci.yml", "YAML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/Dockerfile", "Docker", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/cmd/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 11, 47
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/docker-compose.yml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/app/app.go", "Go", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 10, 43
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/config.go", "Go", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 17, 96
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/handler/course_papers.go", "Go", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 20, 142
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/handler/handler.go", "Go", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/handler/middleware.go", "Go", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/dto/course_paper.go", "Go", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/dto/stage.go", "Go", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/models/course_paper.go", "Go", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/models/stage.go", "Go", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/internal/storage/storage.go", "Go", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 20, 151
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/tools/helper.go", "Go", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/course_papers/course_paper.templ", "templ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 16, 169
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/course_papers/course_paper_templ.go", "Go", 0, 0, 0, 0, 0, 0, 0, 564, 0, 0, 0, 3, 19, 586
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/index.templ", "templ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 3, 42
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/index_templ.go", "Go", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 3, 6, 80
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/pagination/pagination.templ", "templ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 6, 71
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/pagination/pagination_templ.go", "Go", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 3, 9, 183
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/params/helper.go", "Go", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/params/page_display.go", "Go", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/sidenav.templ", "templ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/sidenav_templ.go", "Go", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 5, 36
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/stages/stage.templ", "templ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 15, 150
"/Users/folklinoff/Documents/Uni/CoursePaper/course_papers/app/src/web/views/stages/stage_templ.go", "Go", 0, 0, 0, 0, 0, 0, 0, 522, 0, 0, 0, 3, 18, 543
"Total", "-", 330, 459, 30, 6, 9, 7, 21, 1892, 43, 398, 10, 46, 409, 3660
